Question,Answer
I purchased a data bundle but it’s not yet credited to my account.,"Log your query on your self service platform, https://selfcare.econet.co.zw under “My Queries”. Provide your full name and mobile number"
"Hi, I just purchased my daily bundles and they have exhausted though I haven’t used them much.","We would like to inform you that all our bundles are usage based and you can now track your data, airtime or SMS usage via My Web self-care. You just need to follow this link: https://selfcare.econet.co.zw/ and register."
Can you send me data settings to my phone?,"Send an SMS “Device Type” followed by “Settings” for example, “Android Settings” to 222 to receive manual settings for phone"
I have WhatsApp bundle but am failing to make an App call?,"Please note that you cannot make calls using the WhatsApp bundle. In order to make calls, you will need Data bundles."
I have not used my line for about 3 months now and I am failing to make calls or send messages?,Recharge your airtime using a physical recharge card and hard reset your device. Should the problem persist do not hesitate to log your query on My Web self-care: https://selfcare.econet.co.zw
I bought my line last month and I am failing to borrow airtime. What should I do?,"Please note, in order to borrow airtime, your line has to be active for 3 months after the day of purchase. you also need to recharge more often to be eligible for credit."
"I over-scratched my recharge card, and I have tried *111# but I still haven’t been helped.","Dear valued customer, we are pleased to inform you that we now have several platforms other than *111# where you can check your recharge keys at the comfort of your home."
I am failing to receive messages. How can this be fixed?,"In most cases, you must consider deleting other messages because your mailbox might be full. You must also check your message center number. For most devices, you find message center number under message settings. Enter the digits +263770010502. For Iphones, you need to dial **5005*7672*+263770010502#."
"l bought airtime for a wrong number, can this be reversed?","Please note that whenever you send airtime or bundles to the wrong number, we are only able to perform reversal if the bundle or airtime has not been used. We strongly urge all our valued customers to take extra causion when making such transactions."
I’m failing to recharge my phone. What can I do?,"Kindly verify if the recharge keys you are entering are correct. You are free to log your query on My Web self-care: https://selfcare.econet.co.zw stating the serial number, batch number and 5 consecutive visible keys on your recharge card."
I am failing to make calls. Can this be fixed?,Sorry you have had such an experience. May you check if you are eligible to make the call by inquiring your airtime balance. Kindly log your query on your self service platform that is https://selfcare.econet.co.zw under “My Queries” providing your full name and mobile number after confirming that you are eligible to make the call.
