Question,Answer,id
"I bought a data bundle but it didn't show up on my account yet, what should I do?","Log your query on your self service platform, https://selfcare.econet.co.zw under “My Queries”. Provide your full name and mobile number",a09c50b9
How do I report a problem with my data bundle purchase?,"Log your query on your self service platform, https://selfcare.econet.co.zw under “My Queries”. Provide your full name and mobile number",a09c50b9
What should I do if my data bundle purchase didn't go through?,"Log your query on your self service platform, https://selfcare.econet.co.zw under “My Queries”. Provide your full name and mobile number",a09c50b9
"I purchased data and it hasn't reflected in my account, how do I resolve this issue?","Log your query on your self service platform, https://selfcare.econet.co.zw under “My Queries”. Provide your full name and mobile number",a09c50b9
"I did a data bundle purchase but I haven't received it, what are my options?","Log your query on your self service platform, https://selfcare.econet.co.zw under “My Queries”. Provide your full name and mobile number",a09c50b9
"I'm having trouble configuring my phone's internet settings, is there a way you can send me the data settings directly?","Send an SMS “Device Type” followed by “Settings” for example, “Android Settings” to 222 to receive manual settings for phone",64f32973
How do I get manual internet settings sent to my mobile device?,"Send an SMS “Device Type” followed by “Settings” for example, “Android Settings” to 222 to receive manual settings for phone",64f32973
"I need to access the internet on my phone but I don't know the settings, can you provide them?","Send an SMS “Device Type” followed by “Settings” for example, “Android Settings” to 222 to receive manual settings for phone",64f32973
Is there a quick way to receive the correct internet data settings for my phone?,"Send an SMS “Device Type” followed by “Settings” for example, “Android Settings” to 222 to receive manual settings for phone",64f32973
Can you assist me in configuring my phone's data settings and tell me how to obtain them?,"Send an SMS “Device Type” followed by “Settings” for example, “Android Settings” to 222 to receive manual settings for phone",64f32973
"I am experiencing trouble making voice calls with WhatsApp bundle, What could be the issue?","Please note that you cannot make calls using the WhatsApp bundle. In order to make calls, you will need Data bundles.",be1f3e62
Can I use my WhatsApp bundle data for phone calls?,"Please note that you cannot make calls using the WhatsApp bundle. In order to make calls, you will need Data bundles.",be1f3e62
Are WhatsApp bundle and traditional data bundle for calls different?,"Please note that you cannot make calls using the WhatsApp bundle. In order to make calls, you will need Data bundles.",be1f3e62
What type of bundle is required for making WhatsApp voice calls?,"Please note that you cannot make calls using the WhatsApp bundle. In order to make calls, you will need Data bundles.",be1f3e62
Will my WhatsApp bundle subscription allow me to place App calls?,"Please note that you cannot make calls using the WhatsApp bundle. In order to make calls, you will need Data bundles.",be1f3e62
