Question,Answer
What if I am resident in another country despite being a citizen of Zimbabwe?,"You are still able to register for EcoSure on your roaming Econet SIM card. On registration you will be required to select whether you are in Zimbabwe, Africa or the rest of the world. The premiums and benefits for customers based in other African countries or in the rest of the world are as follows:"
How much cover do I enjoy?,The cover depends on thepackagechosen. There are a range ofPolicy Packageoptions that are available to Customers:
How many policies can I have as a Policy Holder?,
What if I no longer want to be covered under the EcoSure Personal Accident Cover?,You can disable the EcoSure Personal Accident Plan on your phone by
How do I claim for a disability benefit?,You and/or your representative can visit any Econet Service Center or EcoSure Agent to make the claim. The following documents are required to process the claim:
How do I claim for a death benefit?,Your beneficiary and/or family members can visit any Econet Service Centre or EcoSure Agent to make the claim. The following documents are required to process the claim:
How much will my Dependants be covered for?,"Each dependant will be covered for $100,000 and will each pay a premium of $100 per month."
How can I register my Dependants?,"When you register for EcoSure Personal Accident Cover, ALL your dependants under EcoSure Funeral Cover will be covered under the EcoSure Personal Accident Cover."
What is a Dependant?,A Dependant is a person whom the Insured has a legal duty to support. EcoSure Personal Accident Cover allows you to register these members of the extended family as dependants;
When does my policy become active?,"Your policy becomes active immediately if registration has been completed between the 1st and 10th day of the month. If registration is completed after the 10th, then the policy becomes active on the 1st day of the following month. Registration is complete once your first premium has been deducted from your EcoCash wallet."
How do I register for EcoSure Personal Accident Cover on my mobile number?,To register for EcoSure Personal Accident Cover;
When should I make a cash deposit into my EcoCash wallet for the premium renewal to be effected in that month?,You must ensure that you have paid your monthly premium by the 1st of every month. To do so you must ensure that you have deposited cash into your EcoCash wallet any time from the 20th of the month for the premium due the 1st of the next month. You have until the 10th of the next month to ensure that your policy remains active. If you do not pay by the 10th of the month your policy will lapse.
Will I incur any additional charges on EcoSure?,Normal EcoCash charges apply for all deductions made from your EcoCash wallet towards your EcoSure Personal Accident Cover premium payment.
Can I pay the premium for EcoSure Funeral Cover and EcoSure Personal Accident Cover separately?,"No. Once you register for both, your monthly premium must be paid at once for the two benefits."
How do I pay my monthly EcoSure Personal Accident Cover premiums?,An automatic deduction will be done through your EcoCash wallet as soon as you register and monthly as from the 25th of every month to the 10th of the following month. You can initiate payment through the EcoSure menu or payment can be done by a sponsor who pays the premium on your behalf through his/her EcoCash wallet.
How will the benefits be paid considering that I will have both the EcoSure Funeral Cover and the EcoSure Personal Accident Cover?,"Both benefits are paid to your appointed beneficiary. If a Funeral Service Provider is selected as a beneficiary, the EcoSure Funeral Cover benefit will be paid to the Funeral Service Provider while the Accident benefit is paid into your surviving beneficiary’s Bank Account."
How much cover do I receive?,"For an additional premium of $50 to your EcoSure Funeral Cover Policy, your dependants will receive an additional death benefit of $500,000. The benefit of $500,000 is also paid to you in the event of permanent disability due to an accident."
What are the requirements for one to register as an Individual Policyholder on EcoSure Personal Accident Cover on their mobile phone?,"For one to register for EcoSure Personal Accident Cover on their mobile number, one must have:"
